time,open,high,low,close,volume
2021-04-01 14:02:00-04:00,8.13,8.13,8.13,8.13,175
2021-04-01 14:06:00-04:00,8.13,8.13,8.13,8.13,203
2021-04-01 14:10:00-04:00,8.13,8.14,8.13,8.14,409
2021-04-01 14:11:00-04:00,8.15,8.15,8.15,8.15,522
2021-04-01 14:12:00-04:00,8.15,8.15,8.15,8.15,100
2021-04-01 14:13:00-04:00,8.15,8.16,8.15,8.16,300
2021-04-01 14:24:00-04:00,8.14,8.14,8.13,8.13,1040
2021-04-01 14:25:00-04:00,8.135,8.135,8.13,8.13,335
2021-04-01 14:27:00-04:00,8.13,8.13,8.13,8.13,168
2021-04-01 14:29:00-04:00,8.13,8.13,8.13,8.13,100
2021-04-01 14:30:00-04:00,8.115,8.115,8.115,8.115,100
2021-04-01 14:33:00-04:00,8.1,8.1,8.1,8.1,137
2021-04-01 14:34:00-04:00,8.1,8.1,8.1,8.1,186
2021-04-01 14:42:00-04:00,8.095,8.095,8.095,8.095,200
2021-04-01 14:43:00-04:00,8.11,8.12,8.11,8.12,200
2021-04-01 14:45:00-04:00,8.1,8.1,8.1,8.1,100
2021-04-01 14:47:00-04:00,8.1,8.1,8.1,8.1,100
2021-04-01 14:49:00-04:00,8.1,8.1,8.1,8.1,100
2021-04-01 14:52:00-04:00,8.07,8.07,8.07,8.07,100
2021-04-01 14:57:00-04:00,8.09,8.09,8.09,8.09,300
2021-04-01 14:58:00-04:00,8.09,8.09,8.09,8.09,920
2021-04-01 15:00:00-04:00,8.06,8.06,8.06,8.06,120
2021-04-01 15:01:00-04:00,8.045,8.045,8.045,8.045,204
2021-04-01 15:03:00-04:00,8.035,8.035,8.02,8.02,375
2021-04-01 15:04:00-04:00,8.02,8.02,8.02,8.02,300
2021-04-01 15:05:00-04:00,8.02,8.02,8.02,8.02,400
2021-04-01 15:06:00-04:00,8.02,8.02,8.02,8.02,470
2021-04-01 15:07:00-04:00,8.04,8.04,8.04,8.04,201
2021-04-01 15:09:00-04:00,8.04,8.04,8.04,8.04,1100
2021-04-01 15:10:00-04:00,8.03,8.03,8.03,8.03,150
2021-04-01 15:11:00-04:00,8.02,8.02,8.02,8.02,100
2021-04-01 15:12:00-04:00,8.025,8.025,8.025,8.025,100
2021-04-01 15:13:00-04:00,8.02,8.02,8.02,8.02,200
2021-04-01 15:14:00-04:00,8.02,8.02,8.015,8.015,500
2021-04-01 15:15:00-04:00,8.03,8.03,8.0,8.0,948
2021-04-01 15:16:00-04:00,7.98,8.0,7.98,7.995,500
2021-04-01 15:17:00-04:00,7.99,7.99,7.99,7.99,230
2021-04-01 15:18:00-04:00,7.995,8.015,7.995,8.015,531
2021-04-01 15:20:00-04:00,7.995,8.0,7.995,8.0,325
2021-04-01 15:21:00-04:00,7.995,8.0,7.995,8.0,200
2021-04-01 15:22:00-04:00,8.0,8.0,7.995,8.0,1000
2021-04-01 15:23:00-04:00,8.005,8.005,8.005,8.005,301
2021-04-01 15:25:00-04:00,8.0,8.0,8.0,8.0,175
2021-04-01 15:26:00-04:00,7.995,7.995,7.985,7.985,401
2021-04-01 15:27:00-04:00,7.99,7.99,7.99,7.99,300
2021-04-01 15:28:00-04:00,7.995,7.995,7.995,7.995,100
2021-04-01 15:29:00-04:00,7.995,8.0,7.995,7.995,501
2021-04-01 15:30:00-04:00,7.975,7.975,7.975,7.975,160
2021-04-01 15:31:00-04:00,8.0,8.0,7.995,7.995,300
2021-04-01 15:32:00-04:00,8.005,8.005,8.005,8.005,100
2021-04-01 15:33:00-04:00,7.995,7.995,7.995,7.995,100
2021-04-01 15:35:00-04:00,7.98,7.98,7.965,7.965,679
2021-04-01 15:36:00-04:00,7.97,7.97,7.96,7.965,1056
2021-04-01 15:37:00-04:00,7.97,7.97,7.96,7.96,233
2021-04-01 15:39:00-04:00,7.97,7.98,7.965,7.98,1542
2021-04-01 15:40:00-04:00,7.975,7.975,7.975,7.975,100
2021-04-01 15:41:00-04:00,7.965,7.965,7.96,7.965,1100
2021-04-01 15:42:00-04:00,7.965,7.97,7.96,7.97,2870
2021-04-01 15:43:00-04:00,7.96,7.96,7.96,7.96,100
2021-04-01 15:45:00-04:00,7.94,7.94,7.94,7.94,237
2021-04-01 15:46:00-04:00,7.95,7.95,7.935,7.935,337
2021-04-01 15:47:00-04:00,7.93,7.94,7.93,7.935,2300
2021-04-01 15:48:00-04:00,7.935,7.935,7.93,7.93,1903
2021-04-01 15:49:00-04:00,7.94,7.955,7.94,7.955,746
2021-04-01 15:50:00-04:00,7.985,7.985,7.985,7.985,828
2021-04-01 15:51:00-04:00,8.01,8.01,8.0,8.01,4150
2021-04-01 15:52:00-04:00,8.02,8.02,8.01,8.01,3442
2021-04-01 15:53:00-04:00,8.015,8.035,8.015,8.02,3207
2021-04-01 15:54:00-04:00,8.03,8.035,8.01,8.015,4451
2021-04-01 15:55:00-04:00,8.02,8.02,8.01,8.01,1716
2021-04-01 15:56:00-04:00,8.01,8.01,8.01,8.01,200
2021-04-01 15:57:00-04:00,8.005,8.005,7.995,8.005,1238
2021-04-01 15:58:00-04:00,7.995,8.0,7.99,8.0,2016
2021-04-01 15:59:00-04:00,8.005,8.015,8.005,8.005,1400
2021-04-05 09:30:00-04:00,8.12,8.14,8.12,8.14,400
2021-04-05 09:31:00-04:00,8.11,8.15,8.09,8.09,3928
2021-04-05 09:32:00-04:00,8.15,8.15,8.09,8.09,1929
2021-04-05 09:33:00-04:00,8.11,8.17,8.11,8.17,700
2021-04-05 09:34:00-04:00,8.18,8.19,8.145,8.15,1100
2021-04-05 09:35:00-04:00,8.135,8.135,8.135,8.135,100
2021-04-05 09:36:00-04:00,8.13,8.13,8.13,8.13,100
2021-04-05 09:37:00-04:00,8.14,8.245,8.14,8.2,1495
2021-04-05 09:38:00-04:00,8.18,8.2,8.18,8.2,500
2021-04-05 09:39:00-04:00,8.215,8.215,8.13,8.13,300
2021-04-05 09:40:00-04:00,8.11,8.11,8.1,8.1,2700
2021-04-05 09:41:00-04:00,8.095,8.11,8.09,8.09,401
2021-04-05 09:42:00-04:00,8.08,8.1,8.08,8.1,301
2021-04-05 09:43:00-04:00,8.1,8.1,8.075,8.075,201
2021-04-05 09:44:00-04:00,8.035,8.035,8.035,8.035,200
2021-04-05 09:45:00-04:00,8.05,8.05,8.05,8.05,401
2021-04-05 09:46:00-04:00,8.07,8.07,8.055,8.055,1201
2021-04-05 09:47:00-04:00,8.09,8.09,8.09,8.09,175
2021-04-05 09:48:00-04:00,8.095,8.1,8.055,8.055,1918
2021-04-05 09:49:00-04:00,8.055,8.055,8.055,8.055,201
2021-04-05 09:50:00-04:00,8.055,8.055,8.05,8.05,700
2021-04-05 09:51:00-04:00,8.08,8.08,8.075,8.075,314
2021-04-05 09:52:00-04:00,8.075,8.075,8.075,8.075,300
2021-04-05 09:53:00-04:00,8.095,8.095,8.085,8.085,400
2021-04-05 09:54:00-04:00,8.04,8.04,8.04,8.04,212
2021-04-05 09:55:00-04:00,8.065,8.065,8.06,8.06,911
2021-04-05 09:56:00-04:00,8.065,8.065,8.045,8.045,404
2021-04-05 09:57:00-04:00,8.015,8.025,8.0,8.0,1953
2021-04-05 09:58:00-04:00,8.01,8.015,8.01,8.015,1400
2021-04-05 09:59:00-04:00,8.015,8.015,8.01,8.01,249
2021-04-05 10:00:00-04:00,8.015,8.015,8.005,8.005,417
2021-04-05 10:02:00-04:00,8.015,8.015,7.98,7.985,913
2021-04-05 10:03:00-04:00,8.005,8.01,8.0,8.0,2600
2021-04-05 10:04:00-04:00,8.005,8.005,8.005,8.005,274
2021-04-05 10:05:00-04:00,8.025,8.035,8.025,8.025,847
2021-04-05 10:06:00-04:00,8.05,8.05,8.05,8.05,201
2021-04-05 10:07:00-04:00,8.035,8.05,8.025,8.05,413
2021-04-05 10:08:00-04:00,8.05,8.05,8.05,8.05,300
2021-04-05 10:10:00-04:00,8.095,8.095,8.08,8.085,800
2021-04-05 10:11:00-04:00,8.085,8.085,8.075,8.085,801
2021-04-05 10:12:00-04:00,8.075,8.075,8.065,8.065,1000
2021-04-05 10:14:00-04:00,8.13,8.13,8.13,8.13,200
2021-04-05 10:15:00-04:00,8.14,8.14,8.14,8.14,200
2021-04-05 10:16:00-04:00,8.17,8.17,8.16,8.165,828
2021-04-05 10:17:00-04:00,8.165,8.165,8.155,8.155,614
2021-04-05 10:18:00-04:00,8.195,8.195,8.19,8.195,600
2021-04-05 10:19:00-04:00,8.2,8.2,8.2,8.2,100
2021-04-05 10:20:00-04:00,8.175,8.18,8.17,8.175,1013
2021-04-05 10:21:00-04:00,8.185,8.19,8.185,8.19,322
2021-04-05 10:22:00-04:00,8.25,8.27,8.25,8.27,200
2021-04-05 10:24:00-04:00,8.28,8.28,8.275,8.275,500
2021-04-05 10:25:00-04:00,8.275,8.275,8.275,8.275,700
2021-04-05 10:26:00-04:00,8.275,8.29,8.275,8.29,269
2021-04-05 10:27:00-04:00,8.275,8.275,8.255,8.26,1100
2021-04-05 10:28:00-04:00,8.255,8.275,8.255,8.275,600
2021-04-05 10:29:00-04:00,8.29,8.29,8.29,8.29,100
2021-04-05 10:30:00-04:00,8.285,8.285,8.28,8.28,900
2021-04-05 10:31:00-04:00,8.275,8.275,8.275,8.275,700
2021-04-05 10:32:00-04:00,8.265,8.265,8.26,8.265,900
2021-04-05 10:33:00-04:00,8.265,8.265,8.245,8.245,700
2021-04-05 10:34:00-04:00,8.25,8.26,8.245,8.245,2165
2021-04-05 10:35:00-04:00,8.235,8.235,8.225,8.225,915
2021-04-05 10:36:00-04:00,8.215,8.215,8.185,8.185,1000
2021-04-05 10:37:00-04:00,8.185,8.185,8.175,8.175,400
2021-04-05 10:38:00-04:00,8.18,8.18,8.18,8.18,115
2021-04-05 10:39:00-04:00,8.185,8.195,8.185,8.195,440
2021-04-05 10:40:00-04:00,8.2,8.205,8.175,8.185,655
2021-04-05 10:41:00-04:00,8.185,8.195,8.185,8.195,650
2021-04-05 10:42:00-04:00,8.18,8.19,8.18,8.19,789
2021-04-05 10:43:00-04:00,8.195,8.195,8.195,8.195,100
2021-04-05 10:44:00-04:00,8.245,8.25,8.245,8.25,1069
2021-04-05 10:45:00-04:00,8.25,8.26,8.25,8.26,400
