time,strategy,exchange,symbol,side,sec_type,type,status,price,filled_quantity,multiplier
2021-01-04 11:01:00-05:00,MachineLearningStocks,SMART,TQQQ,buy,stock,market,fill,44.2299681933,1112,1
2021-01-04 11:01:00-05:00,MachineLearningStocks,SMART,TQQQ,sell,stock,limit,canceled,,,1
2021-01-04 11:01:00-05:00,MachineLearningStocks,SMART,TQQQ,sell,stock,stop,fill,44.2299681933,1112,1
2021-01-04 11:16:00-05:00,MachineLearningStocks,SMART,TQQQ,sell,stock,limit,canceled,,,1
2021-01-04 11:16:00-05:00,MachineLearningStocks,SMART,TQQQ,sell,stock,stop,fill,43.9174684181,1126,1
2021-01-04 11:16:00-05:00,MachineLearningStocks,SMART,TQQQ,buy,stock,market,fill,43.9174684181,1126,1
2021-01-06 04:16:00-05:00,MachineLearningStocks,SMART,TQQQ,buy,stock,market,fill,42.0149697862,1195,1
2021-01-06 10:46:00-05:00,MachineLearningStocks,SMART,TQQQ,sell,stock,stop,canceled,,,1
2021-01-06 10:46:00-05:00,MachineLearningStocks,SMART,TQQQ,sell,stock,limit,fill,43.9674683821,1195,1
2021-01-06 17:01:00-05:00,MachineLearningStocks,SMART,TQQQ,buy,stock,market,fill,43.0974690077,1186,1
2021-01-06 20:01:00-05:00,MachineLearningStocks,SMART,TQQQ,sell,stock,stop,canceled,,,1
2021-01-06 20:01:00-05:00,MachineLearningStocks,SMART,TQQQ,sell,stock,limit,fill,43.5124687093,1186,1
2021-01-11 09:16:00-05:00,MachineLearningStocks,SMART,TQQQ,buy,stock,market,fill,46.1649668018,1110,1
2021-01-11 09:31:00-05:00,MachineLearningStocks,SMART,TQQQ,sell,stock,limit,canceled,,,1
2021-01-11 09:31:00-05:00,MachineLearningStocks,SMART,TQQQ,sell,stock,stop,fill,46.14611344043399,1110,1
2021-01-11 11:01:00-05:00,MachineLearningStocks,SMART,TQQQ,buy,stock,market,fill,46.3329166811,1111,1
2021-01-11 11:16:00-05:00,MachineLearningStocks,SMART,TQQQ,sell,stock,limit,canceled,,,1
2021-01-11 11:16:00-05:00,MachineLearningStocks,SMART,TQQQ,sell,stock,stop,fill,45.9215669769,1111,1
2021-01-11 14:16:00-05:00,MachineLearningStocks,SMART,TQQQ,buy,stock,market,fill,45.8749670104,1111,1
2021-01-11 14:16:00-05:00,MachineLearningStocks,SMART,TQQQ,sell,stock,limit,canceled,,,1
2021-01-11 14:16:00-05:00,MachineLearningStocks,SMART,TQQQ,sell,stock,stop,fill,45.8749670104,1111,1
2021-01-12 10:16:00-05:00,MachineLearningStocks,SMART,TQQQ,buy,stock,market,fill,45.2774674401,1131,1
2021-01-12 10:31:00-05:00,MachineLearningStocks,SMART,TQQQ,sell,stock,stop,canceled,,,1
2021-01-12 10:31:00-05:00,MachineLearningStocks,SMART,TQQQ,sell,stock,limit,fill,45.537722752908,1131,1
2021-01-12 12:01:00-05:00,MachineLearningStocks,SMART,TQQQ,buy,stock,market,fill,45.1724675156,1132,1
2021-01-12 12:01:00-05:00,MachineLearningStocks,SMART,TQQQ,sell,stock,limit,canceled,,,1
2021-01-12 12:01:00-05:00,MachineLearningStocks,SMART,TQQQ,sell,stock,stop,fill,45.1724675156,1132,1
2021-01-14 13:46:00-05:00,MachineLearningStocks,SMART,TQQQ,buy,stock,market,fill,46.0499668845,1116,1
2021-01-14 15:16:00-05:00,MachineLearningStocks,SMART,TQQQ,sell,stock,limit,canceled,,,1
2021-01-14 15:16:00-05:00,MachineLearningStocks,SMART,TQQQ,sell,stock,stop,fill,45.7499671003,1116,1
2021-01-15 10:32:00-05:00,MachineLearningStocks,SMART,TQQQ,buy,stock,market,fill,44.26246817,1149,1
2021-01-15 11:02:00-05:00,MachineLearningStocks,SMART,TQQQ,buy,stock,market,fill,44.3024681412,1152,1
2021-01-15 11:02:00-05:00,MachineLearningStocks,SMART,TQQQ,sell,stock,limit,canceled,,,1
2021-01-15 11:02:00-05:00,MachineLearningStocks,SMART,TQQQ,sell,stock,stop,fill,44.235999439031495,1152,1
2021-01-15 11:17:00-05:00,MachineLearningStocks,SMART,TQQQ,buy,stock,market,fill,44.3024681412,1154,1
2021-01-15 11:32:00-05:00,MachineLearningStocks,SMART,TQQQ,sell,stock,stop,canceled,,,1
2021-01-15 11:32:00-05:00,MachineLearningStocks,SMART,TQQQ,sell,stock,limit,fill,45.006392635,1154,1
2021-01-15 13:32:00-05:00,MachineLearningStocks,SMART,TQQQ,sell,stock,market,fill,45.1987174967,1152,1
2021-01-15 15:02:00-05:00,MachineLearningStocks,SMART,TQQQ,buy,stock,stop,canceled,,,1
2021-01-15 15:02:00-05:00,MachineLearningStocks,SMART,TQQQ,buy,stock,limit,fill,44.6674678787,1152,1
2021-01-15 16:17:00-05:00,MachineLearningStocks,SMART,TQQQ,buy,stock,market,fill,44.1049682832,1171,1
2021-01-15 16:47:00-05:00,MachineLearningStocks,SMART,TQQQ,sell,stock,limit,canceled,,,1
2021-01-15 16:47:00-05:00,MachineLearningStocks,SMART,TQQQ,sell,stock,stop,fill,44.0724683066,1171,1
2021-01-19 04:16:00-05:00,MachineLearningStocks,SMART,TQQQ,sell,stock,market,fill,45.622467192,1153,1
2021-01-19 11:16:00-05:00,MachineLearningStocks,SMART,TQQQ,buy,stock,stop,canceled,,,1
2021-01-19 11:16:00-05:00,MachineLearningStocks,SMART,TQQQ,buy,stock,limit,fill,45.001513888503,1153,1
2021-01-19 12:31:00-05:00,MachineLearningStocks,SMART,TQQQ,sell,stock,market,fill,45.6174671956,1160,1
2021-01-19 12:46:00-05:00,MachineLearningStocks,SMART,TQQQ,buy,stock,limit,canceled,,,1
2021-01-19 12:46:00-05:00,MachineLearningStocks,SMART,TQQQ,buy,stock,stop,fill,45.8799670068,1160,1
2021-01-19 13:01:00-05:00,MachineLearningStocks,SMART,TQQQ,sell,stock,market,fill,45.9974669223,1153,1
2021-01-19 13:01:00-05:00,MachineLearningStocks,SMART,TQQQ,buy,stock,limit,canceled,,,1
2021-01-19 13:01:00-05:00,MachineLearningStocks,SMART,TQQQ,buy,stock,stop,fill,46.02690415112549,1153,1
2021-01-21 04:16:00-05:00,MachineLearningStocks,SMART,TQQQ,sell,stock,market,fill,50.2649638535,1103,1
2021-01-21 09:46:00-05:00,MachineLearningStocks,SMART,TQQQ,buy,stock,stop,canceled,,,1
2021-01-21 09:46:00-05:00,MachineLearningStocks,SMART,TQQQ,buy,stock,limit,fill,49.7299642382,1103,1
2021-01-25 04:16:00-05:00,MachineLearningStocks,SMART,TQQQ,sell,stock,market,fill,51.8649627029,1094,1
2021-01-25 09:46:00-05:00,MachineLearningStocks,SMART,TQQQ,buy,stock,limit,canceled,,,1
2021-01-25 09:46:00-05:00,MachineLearningStocks,SMART,TQQQ,buy,stock,stop,fill,52.459962275,1094,1
2021-01-25 13:16:00-05:00,MachineLearningStocks,SMART,TQQQ,sell,stock,market,fill,51.2592131385,1094,1
2021-01-25 15:46:00-05:00,MachineLearningStocks,SMART,TQQQ,buy,stock,market,fill,51.2050131774,1103,1
2021-01-25 15:46:00-05:00,MachineLearningStocks,SMART,TQQQ,sell,stock,stop,canceled,,,1
2021-01-25 15:46:00-05:00,MachineLearningStocks,SMART,TQQQ,sell,stock,limit,fill,51.2050131774,1103,1
2021-01-27 07:46:00-05:00,MachineLearningStocks,SMART,TQQQ,buy,stock,market,fill,50.5649636377,1103,1
2021-01-27 08:01:00-05:00,MachineLearningStocks,SMART,TQQQ,sell,stock,limit,canceled,,,1
2021-01-27 08:01:00-05:00,MachineLearningStocks,SMART,TQQQ,sell,stock,stop,fill,50.3299638067,1103,1
2021-01-27 08:01:00-05:00,MachineLearningStocks,SMART,TQQQ,sell,stock,stop,canceled,,,1
2021-01-27 08:01:00-05:00,MachineLearningStocks,SMART,TQQQ,sell,stock,limit,fill,51.082718265391016,1103,1
2021-01-27 09:46:00-05:00,MachineLearningStocks,SMART,TQQQ,buy,stock,market,fill,48.8199648926,1133,1
2021-01-27 09:46:00-05:00,MachineLearningStocks,SMART,TQQQ,sell,stock,limit,canceled,,,1
