time,strategy,exchange,symbol,side,sec_type,type,status,price,filled_quantity,multiplier
2021-02-01 08:15:00-05:00,MachineLearning,SMART,BTC,buy,crypto,market,fill,33983.32,0.5919418949835884,1
2021-02-01 09:00:00-05:00,MachineLearning,SMART,BTC,sell,crypto,limit,canceled,,,1
2021-02-01 09:00:00-05:00,MachineLearning,SMART,BTC,sell,crypto,stop,fill,33643.089349999995,0.5919418949835884,1
2021-02-01 09:15:00-05:00,MachineLearning,SMART,BTC,sell,crypto,limit,canceled,,,1
2021-02-01 09:15:00-05:00,MachineLearning,SMART,BTC,sell,crypto,stop,fill,33442.17,0.5934864440227259,1
2021-02-01 09:15:00-05:00,MachineLearning,SMART,BTC,buy,crypto,market,fill,33442.17,0.5934864440227259,1
2021-02-01 10:15:00-05:00,MachineLearning,SMART,BTC,buy,crypto,market,fill,33466.84,0.5954419605965094,1
2021-02-01 11:00:00-05:00,MachineLearning,SMART,BTC,sell,crypto,limit,canceled,,,1
2021-02-01 11:00:00-05:00,MachineLearning,SMART,BTC,sell,crypto,stop,fill,33160.0,0.5954419605965094,1
2021-02-02 04:15:00-05:00,MachineLearning,SMART,BTC,buy,crypto,limit,canceled,,,1
2021-02-02 04:15:00-05:00,MachineLearning,SMART,BTC,buy,crypto,stop,fill,35312.6,0.5721370521271979,1
2021-02-02 04:15:00-05:00,MachineLearning,SMART,BTC,sell,crypto,market,fill,35312.6,0.5721370521271979,1
2021-02-02 06:45:00-05:00,MachineLearning,SMART,BTC,buy,crypto,market,fill,34919.99,0.5698638083430425,1
2021-02-02 07:00:00-05:00,MachineLearning,SMART,BTC,sell,crypto,limit,canceled,,,1
2021-02-02 07:00:00-05:00,MachineLearning,SMART,BTC,sell,crypto,stop,fill,34722.97,0.5698638083430425,1
2021-02-02 09:15:00-05:00,MachineLearning,SMART,BTC,buy,crypto,market,fill,34798.95,0.5710838532672029,1
2021-02-02 09:30:00-05:00,MachineLearning,SMART,BTC,sell,crypto,limit,canceled,,,1
2021-02-02 09:30:00-05:00,MachineLearning,SMART,BTC,sell,crypto,stop,fill,34579.47,0.5710838532672029,1
2021-02-02 11:45:00-05:00,MachineLearning,SMART,BTC,buy,crypto,limit,canceled,,,1
2021-02-02 11:45:00-05:00,MachineLearning,SMART,BTC,buy,crypto,stop,fill,35053.758949999996,0.5685071010927175,1
2021-02-02 11:45:00-05:00,MachineLearning,SMART,BTC,sell,crypto,market,fill,35016.8,0.5685071010927175,1
2021-02-02 14:45:00-05:00,MachineLearning,SMART,BTC,sell,crypto,market,fill,35411.03,0.5594233003500958,1
2021-02-02 15:00:00-05:00,MachineLearning,SMART,BTC,buy,crypto,limit,canceled,,,1
2021-02-02 15:00:00-05:00,MachineLearning,SMART,BTC,buy,crypto,stop,fill,35762.05,0.5594233003500958,1
2021-02-02 15:15:00-05:00,MachineLearning,SMART,BTC,sell,crypto,market,fill,35818.57,0.5524142644203571,1
2021-02-02 15:30:00-05:00,MachineLearning,SMART,BTC,buy,crypto,stop,canceled,,,1
2021-02-02 15:30:00-05:00,MachineLearning,SMART,BTC,buy,crypto,limit,fill,35640.09,0.5524142644203571,1
2021-02-02 19:45:00-05:00,MachineLearning,SMART,BTC,sell,crypto,market,fill,36208.12,0.5488205714596052,1
2021-02-02 23:00:00-05:00,MachineLearning,SMART,BTC,buy,crypto,limit,canceled,,,1
2021-02-02 23:00:00-05:00,MachineLearning,SMART,BTC,buy,crypto,stop,fill,36403.47,0.5488205714596052,1
2021-02-03 00:15:00-05:00,MachineLearning,SMART,BTC,sell,crypto,market,fill,36550.0,0.5416726475182625,1
2021-02-03 03:15:00-05:00,MachineLearning,SMART,BTC,buy,crypto,stop,canceled,,,1
2021-02-03 03:15:00-05:00,MachineLearning,SMART,BTC,buy,crypto,limit,fill,35922.02,0.5416726475182625,1
2021-02-03 06:15:00-05:00,MachineLearning,SMART,BTC,sell,crypto,market,fill,36008.25,0.5520374723615629,1
2021-02-03 06:45:00-05:00,MachineLearning,SMART,BTC,buy,crypto,limit,canceled,,,1
2021-02-03 06:45:00-05:00,MachineLearning,SMART,BTC,buy,crypto,stop,fill,36183.41869999999,0.5520374723615629,1
2021-02-03 11:45:00-05:00,MachineLearning,SMART,BTC,sell,crypto,stop,canceled,,,1
2021-02-03 11:45:00-05:00,MachineLearning,SMART,BTC,sell,crypto,limit,fill,36990.172699999974,0.5418553139183089,1
2021-02-03 11:45:00-05:00,MachineLearning,SMART,BTC,buy,crypto,market,fill,36976.85,0.5418553139183089,1
2021-02-03 16:45:00-05:00,MachineLearning,SMART,BTC,sell,crypto,market,fill,37400.0,0.5334247922814763,1
2021-02-03 18:15:00-05:00,MachineLearning,SMART,BTC,buy,crypto,limit,canceled,,,1
2021-02-03 18:15:00-05:00,MachineLearning,SMART,BTC,buy,crypto,stop,fill,37458.76,0.5334247922814763,1
2021-02-04 01:45:00-05:00,MachineLearning,SMART,BTC,sell,crypto,market,fill,38075.66,0.5223218064152997,1
2021-02-04 03:15:00-05:00,MachineLearning,SMART,BTC,buy,crypto,limit,canceled,,,1
2021-02-04 03:15:00-05:00,MachineLearning,SMART,BTC,buy,crypto,stop,fill,38441.78,0.5223218064152997,1
2021-02-04 04:15:00-05:00,MachineLearning,SMART,BTC,buy,crypto,market,fill,37310.31,0.5332167053829769,1
2021-02-04 05:45:00-05:00,MachineLearning,SMART,BTC,sell,crypto,stop,canceled,,,1
2021-02-04 05:45:00-05:00,MachineLearning,SMART,BTC,sell,crypto,limit,fill,37729.47,0.5332167053829769,1
2021-02-04 06:45:00-05:00,MachineLearning,SMART,BTC,sell,crypto,market,fill,37671.52,0.524794735472693,1
